PLTURSO,,,,,,,,
l,0,6.5,0,36.5,,,,
c,0,36.5,14,60,40,68.5,82.2,
l,40,68.5,55,68.5,,,,
l,55,68.5,70,78,,,,
c,70,78,73,82.5,77.5,71.5,180,
c,77.5,71.5,84,72.5,86,68,149.6,
l,86,68,77.5,71.5,,,,1
l,86,68,90,66.5,,,,
l,90,66.5,98.5,60,,,,
c,98.5,60,97.5,58.5,97,56,65,
l,97,56,92.5,56,,,,1
l,98.5,60,100,58.5,,,,
c,100,58.5,91,59,87.5,69,139.4,1
l,91,61,98,61,,,,1
l,91,59,85.5,57.5,,,,
l,85.5,57.5,80,50.5,,,,
c,80,50.5,77.5,33.5,72.5,18.5,20.1,
l,72.5,18.5,72.5,0,,,,
l,72.5,0,62.5,0,,,,
l,62.5,0,62.5,12.5,,,,
l,62.5,0,54,0,,,,
c,54,0,48.5,3,46.5,9,84,
l,46.5,9,39,32,,,,
c,39,32,42.5,52.3,55,68.5,55.1,1
c,42.75,20.5,38,20,35.5,16.5,96.9,
l,35.5,16.5,35.5,0,,,,
l,35.5,0,26.5,0,,,,
c,26.5,0,22,3,20.5,8,85.7,
l,20.5,15,15,11.5,,,,
l,15,11.5,15,4,,,,
c,15,4,7.5,0,0,6.5,138,
